x,y,u
0.626263,0.020202,-0.0876665
0.636364,0.020202,-0.0961423
0.646465,0.020202,-0.103882
0,0.030303,-0.043068
0.010101,0.030303,0.00313468
0.020202,0.030303,0.0425817
0.030303,0.030303,0.0749096
0.040404,0.030303,0.101672
0.0505051,0.030303,0.124424
0.0606061,0.030303,0.144302
0.0707071,0.030303,0.162061
0.0808081,0.030303,0.178187
0.0909091,0.030303,0.192989
0.10101,0.030303,0.206665
0.111111,0.030303,0.219339
0.121212,0.030303,0.231089
0.131313,0.030303,0.241964
0.141414,0.030303,0.251992
0.151515,0.030303,0.261186
0.161616,0.030303,0.269553
0.171717,0.030303,0.277092
0.181818,0.030303,0.283802
0.191919,0.030303,0.289678
0.20202,0.030303,0.294713
0.212121,0.030303,0.298905
0.222222,0.030303,0.302248
0.232323,0.030303,0.304742
0.242424,0.030303,0.306384
0.252525,0.030303,0.307178
0.262626,0.030303,0.307128
0.272727,0.030303,0.306239
0.282828,0.030303,0.304522
0.292929,0.030303,0.301988
0.30303,0.030303,0.298653
0.313131,0.030303,0.294534
0.323232,0.030303,0.28965
0.333333,0.030303,0.284026
0.343434,0.030303,0.277688
0.353535,0.030303,0.270663
0.363636,0.030303,0.262982
0.373737,0.030303,0.254679
0.383838,0.030303,0.24579
0.393939,0.030303,0.236352
0.40404,0.030303,0.226406
0.414141,0.030303,0.215993
0.424242,0.030303,0.205157
0.434343,0.030303,0.193943
0.444444,0.030303,0.182398
0.454545,0.030303,0.170569
0.464646,0.030303,0.158505
0.474747,0.030303,0.146257
0.484848,0.030303,0.133873
0.494949,0.030303,0.121406
0.505051,0.030303,0.108905
0.515152,0.030303,0.0964216
0.525253,0.030303,0.084006
0.535354,0.030303,0.0717082
0.545455,0.030303,0.0595774
0.555556,0.030303,0.0476619
0.565657,0.030303,0.0360089
0.575758,0.030303,0.0246646
0.585859,0.030303,0.0136739
0.59596,0.030303,0.00308123
0.606061,0.030303,-0.00706878
0.616162,0.030303,-0.0167294
0.626263,0.030303,-0.0258487
0.636364,0.030303,-0.0343644
0.646465,0.030303,-0.0421967
0,0.040404,0.0306643
0.010101,0.040404,0.0688265
0.020202,0.040404,0.103819
0.030303,0.040404,0.134599
0.040404,0.040404,0.161416
0.0505051,0.040404,0.184937
0.0606061,0.040404,0.205829
0.0707071,0.040404,0.22463
0.0808081,0.040404,0.241735
0.0909091,0.040404,0.257425
0.10101,0.040404,0.271892
0.111111,0.040404,0.285268
0.121212,0.040404,0.297641
0.131313,0.040404,0.30907
0.141414,0.040404,0.319592
0.151515,0.040404,0.32923
0.161616,0.040404,0.337997
0.171717,0.040404,0.345898
0.181818,0.040404,0.352938
0.191919,0.040404,0.359114
0.20202,0.040404,0.364426
0.212121,0.040404,0.368872
0.222222,0.040404,0.372451
0.232323,0.040404,0.375162
0.242424,0.040404,0.377008
0.252525,0.040404,0.377992
0.262626,0.040404,0.378119
0.272727,0.040404,0.377398
0.282828,0.040404,0.375838
0.292929,0.040404,0.373453
0.30303,0.040404,0.370259
0.313131,0.040404,0.366273
0.323232,0.040404,0.361517
0.333333,0.040404,0.356014
0.343434,0.040404,0.34979
0.353535,0.040404,0.342876
0.363636,0.040404,0.335301
0.373737,0.040404,0.3271
0.383838,0.040404,0.318308
0.393939,0.040404,0.308964
0.40404,0.040404,0.299108
0.414141,0.040404,0.288783
0.424242,0.040404,0.278031
0.434343,0.040404,0.266898
0.444444,0.040404,0.255432
0.454545,0.040404,0.243679
0.464646,0.040404,0.231689
0.474747,0.040404,0.219512
0.484848,0.040404,0.207198
0.494949,0.040404,0.194797
0.505051,0.040404,0.182361
0.515152,0.040404,0.169939
0.525253,0.040404,0.157583
0.535354,0.040404,0.145342
0.545455,0.040404,0.133265
0.555556,0.040404,0.121399
0.565657,0.040404,0.109791
0.575758,0.040404,0.0984869
0.585859,0.040404,0.0875292
0.59596,0.040404,0.0769602
0.606061,0.040404,0.066821
