x,y,u
0.343434,0,0.166514
0.353535,0,0.159152
0.363636,0,0.15115
0.373737,0,0.142539
0.383838,0,0.133354
0.393939,0,0.123632
0.40404,0,0.113412
0.414141,0,0.102735
0.424242,0,0.0916453
0.434343,0,0.0801861
0.444444,0,0.068404
0.454545,0,0.0563465
0.464646,0,0.0440621
0.474747,0,0.0316003
0.484848,0,0.0190112
0.494949,0,0.00634559
0.505051,0,-0.00634559
0.515152,0,-0.0190112
0.525253,0,-0.0316003
0.535354,0,-0.0440621
0.545455,0,-0.0563465
0.555556,0,-0.068404
0.565657,0,-0.0801861
0.575758,0,-0.0916453
0.585859,0,-0.102735
0.59596,0,-0.113412
0.606061,0,-0.123632
0.616162,0,-0.133354
0.626263,0,-0.142539
0.636364,0,-0.15115
0.646465,0,-0.159152
0.656566,0,-0.166514
0.666667,0,-0.173205
0.676768,0,-0.179199
0.686869,0,-0.184471
0.69697,0,-0.189
0.707071,0,-0.192768
0.717172,0,-0.19576
0.727273,0,-0.197964
0.737374,0,-0.199371
0.747475,0,-0.199975
0.757576,0,-0.199773
0.767677,0,-0.198768
0.777778,0,-0.196962
0.787879,0,-0.194362
0.79798,0,-0.19098
0.808081,0,-0.18683
0.818182,0,-0.181926
0.828283,0,-0.176291
0.838384,0,-0.169945
0.848485,0,-0.162915
0.858586,0,-0.155229
0.868687,0,-0.146918
0.878788,0,-0.138016
0.888889,0,-0.128558
0.89899,0,-0.118582
0.909091,0,-0.108128
0.919192,0,-0.0972393
0.929293,0,-0.085959
0.939394,0,-0.0743325
0.949495,0,-0.0624067
0.959596,0,-0.0502296
0.969697,0,-0.0378502
0.979798,0,-0.0253185
0.989899,0,-0.0126848
1,0,-4.44089e-17
0.343434,0.010101,0.178617
0.353535,0.010101,0.171354
0.363636,0.010101,0.163445
0.373737,0.010101,0.154923
0.383838,0.010101,0.145822
0.393939,0.010101,0.136181
0.40404,0.010101,0.126038
0.414141,0.010101,0.115434
0.424242,0.010101,0.104414
0.434343,0.010101,0.0930209
0.444444,0.010101,0.0813022
0.454545,0.010101,0.0693052
0.464646,0.010101,0.0570787
0.474747,0.010101,0.0446721
0.484848,0.010101,0.032136
0.494949,0.010101,0.019521
0.505051,0.010101,0.00687842
0.515152,0.010101,-0.00574063
0.525253,0.010101,-0.018285
0.535354,0.010101,-0.0307039
0.545455,0.010101,-0.042947
0.555556,0.010101,-0.0549649
0.565657,0.010101,-0.0667087
0.575758,0.010101,-0.0781311
0.585859,0.010101,-0.0891857
0.59596,0.010101,-0.099828
0.606061,0.010101,-0.110015
0.616162,0.010101,-0.119705
0.626263,0.010101,-0.128859
0.636364,0.010101,-0.13744
0.646465,0.010101,-0.145414
0.656566,0.010101,-0.152748
0.666667,0.010101,-0.159412
0.676768,0.010101,-0.165379
0.686869,0.010101,-0.170626
0.69697,0.010101,-0.175131
0.707071,0.010101,-0.178876
0.717172,0.010101,-0.181845
0.727273,0.010101,-0.184027
0.737374,0.010101,-0.185412
0.747475,0.010101,-0.185995
0.757576,0.010101,-0.185774
0.767677,0.010101,-0.184749
0.777778,0.010101,-0.182925
0.787879,0.010101,-0.180308
0.79798,0.010101,-0.17691
0.808081,0.010101,-0.172743
0.818182,0.010101,-0.167825
0.828283,0.010101,-0.162176
0.838384,0.010101,-0.155818
0.848485,0.010101,-0.148777
0.858586,0.010101,-0.141082
0.868687,0.010101,-0.132763
0.878788,0.010101,-0.123855
0.888889,0.010101,-0.114393
0.89899,0.010101,-0.104417
0.909091,0.010101,-0.0939657
0.919192,0.010101,-0.0830831
0.929293,0.010101,-0.0718128
0.939394,0.010101,-0.0602002
0.949495,0.010101,-0.0482912
0.959596,0.010101,-0.0361313
0.969697,0.010101,-0.0237635
0.979798,0.010101,-0.011224
0.989899,0.010101,0.00146808
1,0.010101,0.0143367
0.343434,0.020202,0.217651
0.353535,0.020202,0.210486
0.363636,0.020202,0.202671
0.373737,0.020202,0.194238
0.383838,0.020202,0.185222
0.393939,0.020202,0.175661
0.40404,0.020202,0.165594
0.414141,0.020202,0.155064
0.424242,0.020202,0.144113
0.434343,0.020202,0.132787
0.444444,0.020202,0.121131
0.454545,0.020202,0.109195
0.464646,0.020202,0.0970263
0.474747,0.020202,0.0846751
0.484848,0.020202,0.072192
0.494949,0.020202,0.0596278
0.505051,0.020202,0.0470338
0.515152,0.020202,0.0344614
0.525253,0.020202,0.0219619
0.535354,0.020202,0.00958605
0.545455,0.020202,-0.00261567
0.555556,0.020202,-0.0145936
0.565657,0.020202,-0.0262991
0.575758,0.020202,-0.0376844
0.585859,0.020202,-0.0487034
0.59596,0.020202,-0.0593112
0.606061,0.020202,-0.0694647
0.616162,0.020202,-0.0791226
0.626263,0.020202,-0.0882457
0.636364,0.020202,-0.0967969
0.646465,0.020202,-0.104741
0.656566,0.020202,-0.112047
0.666667,0.020202,-0.118684
0.676768,0.020202,-0.124625
0.686869,0.020202,-0.129846
0.69697,0.020202,-0.134327
0.707071,0.020202,-0.138047
0.717172,0.020202,-0.140993
0.727273,0.020202,-0.143153
0.737374,0.020202,-0.144516
0.747475,0.020202,-0.145079
0.757576,0.020202,-0.144838
0.767677,0.020202,-0.143793
0.777778,0.020202,-0.141951
0.787879,0.020202,-0.139316
0.79798,0.020202,-0.135901
0.808081,0.020202,-0.131718
0.818182,0.020202,-0.126785
0.828283,0.020202,-0.121122
0.838384,0.020202,-0.114751
0.848485,0.020202,-0.107698
0.858586,0.020202,-0.0999929
0.868687,0.020202,-0.0916657
0.878788,0.020202,-0.082751
0.888889,0.020202,-0.0732853
0.89899,0.020202,-0.0633074
0.909091,0.020202,-0.0528584
0.919192,0.020202,-0.0419813
0.929293,0.020202,-0.0307208
0.939394,0.020202,-0.0191225
0.949495,0.020202,-0.00723251
0.959596,0.020202,0.00490445
0.969697,0.020202,0.0172474
0.979798,0.020202,0.029764
0.989899,0.020202,0.0424399
1,0.020202,0.0552943
0.343434,0.030303,0.277688
0.353535,0.030303,0.270621
0.363636,0.030303,0.262899
0.373737,0.030303,0.254554
0.383838,0.030303,0.245622
0.393939,0.030303,0.236141
0.40404,0.030303,0.226151
0.414141,0.030303,0.215693
0.424242,0.030303,0.204812
0.434343,0.030303,0.193552
0.444444,0.030303,0.18196
0.454545,0.030303,0.170084
0.464646,0.030303,0.157973
0.474747,0.030303,0.145677
0.484848,0.030303,0.133247
0.494949,0.030303,0.120733
0.505051,0.030303,0.108188
0.515152,0.030303,0.0956622
0.525253,0.030303,0.0832075
0.535354,0.030303,0.0708747
0.545455,0.030303,0.0587145
0.555556,0.030303,0.0467765
0.565657,0.030303,0.0351095
0.575758,0.030303,0.0237612
0.585859,0.030303,0.0127781
0.59596,0.030303,0.00220489
0.606061,0.030303,-0.00791518
0.616162,0.030303,-0.0175408
0.626263,0.030303,-0.0266326
0.636364,0.030303,-0.0351536
0.646465,0.030303,-0.0430688
0.656566,0.030303,-0.050346
0.666667,0.030303,-0.0569555
0.676768,0.030303,-0.0628701
0.686869,0.030303,-0.0680656
0.69697,0.030303,-0.0725208
0.707071,0.030303,-0.0762173
0.717172,0.030303,-0.07914
0.727273,0.030303,-0.0812767
0.737374,0.030303,-0.0826185
0.747475,0.030303,-0.0831598
0.757576,0.030303,-0.0828981
0.767677,0.030303,-0.0818342
0.777778,0.030303,-0.0799723
0.787879,0.030303,-0.0773197
0.79798,0.030303,-0.073887
0.808081,0.030303,-0.0696879
0.818182,0.030303,-0.0647394
0.828283,0.030303,-0.0590614
0.838384,0.030303,-0.052677
0.848485,0.030303,-0.0456121
0.858586,0.030303,-0.0378956
0.868687,0.030303,-0.0295591
0.878788,0.030303,-0.0206369
0.888889,0.030303,-0.0111659
0.89899,0.030303,-0.00118541
0.909091,0.030303,0.00926301
0.919192,0.030303,0.0201357
0.929293,0.030303,0.0313871
0.939394,0.030303,0.0429706
0.949495,0.030303,0.0548388
0.959596,0.030303,0.0669452
0.969697,0.030303,0.0792461
0.979798,0.030303,0.0917041
0.989899,0.030303,0.104294
1,0.030303,0.11701
0.343434,0.040404,0.34979
0.353535,0.040404,0.342821
0.363636,0.040404,0.33519
0.373737,0.040404,0.326933
0.383838,0.040404,0.318085
0.393939,0.040404,0.308683
0.40404,0.040404,0.298769
0.414141,0.040404,0.288384
0.424242,0.040404,0.277571
0.434343,0.040404,0.266377
0.444444,0.040404,0.254848
0.454545,0.040404,0.243032
0.464646,0.040404,0.230979
0.474747,0.040404,0.218738
0.484848,0.040404,0.206361
0.494949,0.040404,0.193898
0.505051,0.040404,0.181401
0.515152,0.040404,0.168922
0.525253,0.040404,0.156512
0.535354,0.040404,0.144222
0.545455,0.040404,0.132103
0.555556,0.040404,0.120205
0.565657,0.040404,0.108577
0.575758,0.040404,0.0972656
0.585859,0.040404,0.0863183
0.59596,0.040404,0.0757798
0.606061,0.040404,0.0656932
0.616162,0.040404,0.0561
0.626263,0.040404,0.0470396
0.636364,0.040404,0.038549
0.646465,0.040404,0.0306632
0.656566,0.040404,0.0234145
0.666667,0.040404,0.0168328
0.676768,0.040404,0.010945
0.686869,0.040404,0.00577544
0.69697,0.040404,0.00134545
0.707071,0.040404,-0.00232665
0.717172,0.040404,-0.00522563
0.727273,0.040404,-0.00733937
0.737374,0.040404,-0.00865897
0.747475,0.040404,-0.00917874
0.757576,0.040404,-0.00889625
0.767677,0.040404,-0.00781234
0.777778,0.040404,-0.0059311
0.787879,0.040404,-0.00325991
0.79798,0.040404,0.000190656
0.808081,0.040404,0.00440679
0.818182,0.040404,0.00937153
0.828283,0.040404,0.0150648
0.838384,0.040404,0.0214636
0.848485,0.040404,0.0285417
0.858586,0.040404,0.0362701
0.868687,0.040404,0.0446172
0.878788,0.040404,0.0535482
0.888889,0.040404,0.0630261
0.89899,0.040404,0.073011
0.909091,0.040404,0.0834608
0.919192,0.040404,0.094331
0.929293,0.040404,0.105575
0.939394,0.040404,0.117145
0.949495,0.040404,0.12899
0.959596,0.040404,0.141061
0.969697,0.040404,0.153307
0.979798,0.040404,0.165682
0.989899,0.040404,0.178142
1,0.040404,0.190649
0.343434,0.0505051,0.423296
0.353535,0.0505051,0.416422
0.363636,0.0505051,0.408883
0.373737,0.0505051,0.400712
0.383838,0.0505051,0.391946
0.393939,0.0505051,0.382624
0.40404,0.0505051,0.372785
0.414141,0.0505051,0.362471
0.424242,0.0505051,0.351727
0.434343,0.0505051,0.340598
0.444444,0.0505051,0.329132
0.454545,0.0505051,0.317376
0.464646,0.0505051,0.30538
0.474747,0.0505051,0.293193
0.484848,0.0505051,0.280868
0.494949,0.0505051,0.268456
0.505051,0.0505051,0.256007
0.515152,0.0505051,0.243574
0.525253,0.0505051,0.231209
0.535354,0.0505051,0.218962
0.545455,0.0505051,0.206884
0.555556,0.0505051,0.195026
0.565657,0.0505051,0.183436
0.575758,0.0505051,0.172162
0.585859,0.0505051,0.161251
0.59596,0.0505051,0.150747
0.606061,0.0505051,0.140694
0.616162,0.0505051,0.131133
0.626263,0.0505051,0.122104
0.636364,0.0505051,0.113644
0.646465,0.0505051,0.105788
0.656566,0.0505051,0.0985679
0.666667,0.0505051,0.092014
0.676768,0.0505051,0.0861532
0.686869,0.0505051,0.0810098
0.69697,0.0505051,0.0766053
0.707071,0.0505051,0.0729578
0.717172,0.0505051,0.0700828
0.727273,0.0505051,0.0679923
0.737374,0.0505051,0.0666952
0.747475,0.0505051,0.0661973
0.757576,0.0505051,0.0665009
0.767677,0.0505051,0.0676053
0.777778,0.0505051,0.0695063
0.787879,0.0505051,0.0721965
0.79798,0.0505051,0.0756654
0.808081,0.0505051,0.0798992
0.818182,0.0505051,0.0848808
0.828283,0.0505051,0.0905902
0.838384,0.0505051,0.0970041
0.848485,0.0505051,0.104096
0.858586,0.0505051,0.111838
0.868687,0.0505051,0.120197
0.878788,0.0505051,0.129139
0.888889,0.0505051,0.138625
0.89899,0.0505051,0.148617
0.909091,0.0505051,0.159071
0.919192,0.0505051,0.169942
0.929293,0.0505051,0.181182
0.939394,0.0505051,0.192741
0.949495,0.0505051,0.204566
0.959596,0.0505051,0.216603
0.969697,0.0505051,0.228793
0.979798,0.0505051,0.241078
0.989899,0.0505051,0.253394
1,0.0505051,0.265673
0.343434,0.0606061,0.487345
0.353535,0.0606061,0.480564
0.363636,0.0606061,0.473115
0.373737,0.0606061,0.46503
0.383838,0.0606061,0.456345
0.393939,0.0606061,0.447101
0.40404,0.0606061,0.437336
0.414141,0.0606061,0.427093
